id,mszoning,lotfrontage,lotarea,street,lotshape,landcontour,utilities,lotconfig,landslope,neighborhood,condition1,condition2,bldgtype,housestyle,overallqual,roofstyle,roofmatl,exterior1st,exterior2nd,masvnrtype,masvnrarea,exterqual,foundation,bsmtqual,bsmtcond,bsmtexposure,bsmtfintype1,bsmtfinsf1,bsmtfintype2,bsmtunfsf,totalbsmtsf,heating,heatingqc,centralair,electrical,1stflrsf,2ndflrsf,grlivarea,bsmtfullbath,fullbath,halfbath,bedroomabvgr,kitchenabvgr,kitchenqual,totrmsabvgrd,functional,fireplaces,garagetype,garageyrblt,garagefinish,garagequal,garagecond,paveddrive,wooddecksf,openporchsf,enclosedporch,screenporch,saletype,saleprice,garagesize,houseage
324,RL,93.0,10114,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3.0,PConc,5.0,3.0,Av,Unf,0.0,Unf,1430.0,1430.0,GasA,5.0,Y,SBrkr,1430,0,1430,0.0,2,0,3,1,4.0,7,Typ,0,Attchd,2004.0,RFn,3.0,3.0,Y,0,0,0,0,WD ,173500,1248.0,16
1311,RM,34.0,4571,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,Gable,CompShg,AsbShng,AsbShng,None,0.0,3.0,BrkTil,3.0,3.0,No,Unf,0.0,Unf,624.0,624.0,GasA,2.0,N,SBrkr,624,720,1344,0.0,1,0,4,1,3.0,7,Typ,0,Detchd,1916.0,Unf,2.0,2.0,Y,0,0,96,0,COD,98000,1539.0,104
770,RL,80.0,8816,Pave,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3.0,PConc,3.0,3.0,No,Rec,651.0,Unf,470.0,1121.0,GasA,3.0,Y,SBrkr,1121,0,1121,1.0,1,0,3,1,3.0,5,Typ,0,Detchd,1963.0,Unf,3.0,3.0,Y,0,80,0,0,WD ,139000,960.0,57
2063,RL,71.0,8197,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,3.0,CBlock,3.0,3.0,No,Unf,0.0,Unf,660.0,660.0,GasA,5.0,Y,SBrkr,1285,0,1285,0.0,1,1,3,1,3.0,7,Typ,1,Attchd,1977.0,RFn,3.0,3.0,Y,138,0,0,0,WD ,143500,1056.0,43
69,FV,72.0,8640,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,Gable,CompShg,VinylSd,VinylSd,None,0.0,3.0,PConc,4.0,3.0,Mn,GLQ,24.0,Unf,732.0,756.0,GasA,5.0,Y,SBrkr,764,783,1547,0.0,2,1,3,1,4.0,7,Typ,0,Attchd,2009.0,Unf,3.0,3.0,Y,169,45,0,0,Con,215200,1228.0,11
2062,RL,109.0,8724,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3.0,CBlock,4.0,3.0,No,BLQ,492.0,Unf,402.0,894.0,GasA,4.0,Y,SBrkr,894,0,894,0.0,1,0,3,1,3.0,5,Typ,1,Attchd,1968.0,Fin,3.0,3.0,Y,0,0,0,0,WD ,129000,900.0,52
351,RL,40.0,5664,Pave,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,Gable,CompShg,CemntBd,CmentBd,None,0.0,4.0,PConc,4.0,3.0,No,GLQ,1158.0,Unf,343.0,1501.0,GasA,5.0,Y,SBrkr,1659,0,1659,1.0,2,0,2,1,5.0,5,Typ,1,Attchd,2000.0,Fin,3.0,3.0,Y,212,59,0,0,WD ,278000,998.0,20
2393,RL,103.0,12867,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,Gable,CompShg,CemntBd,CmentBd,,98.53754940711462,4.0,PConc,5.0,3.0,Av,Unf,0.0,Unf,1209.0,1209.0,GasA,5.0,Y,SBrkr,1209,1044,2253,0.0,2,1,3,1,5.0,8,Typ,1,Attchd,2005.0,Fin,3.0,3.0,Y,243,142,0,0,New,344133,1150.0,15
12,RL,68.88300349243306,7980,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,Gable,CompShg,HdBoard,HdBoard,None,0.0,3.0,PConc,4.0,3.0,No,ALQ,935.0,Unf,233.0,1168.0,GasA,5.0,Y,SBrkr,1187,0,1187,1.0,2,0,3,1,3.0,6,Typ,0,Attchd,1992.0,Fin,3.0,3.0,Y,483,21,0,0,WD ,185000,840.0,28
2339,RL,100.0,34650,Pave,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3.0,CBlock,3.0,3.0,Mn,Rec,1056.0,Unf,0.0,1056.0,GasA,3.0,N,SBrkr,1056,0,1056,1.0,1,0,3,1,3.0,5,Typ,0,Attchd,1955.0,Fin,3.0,3.0,Y,264,0,0,0,WD ,145000,1144.0,65
624,RL,92.0,10573,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,3.0,CBlock,3.0,3.0,No,Rec,1312.0,Unf,141.0,1453.0,GasA,5.0,Y,SBrkr,1453,0,1453,1.0,2,0,3,1,3.0,6,Typ,1,Attchd,1961.0,RFn,3.0,3.0,Y,0,49,0,288,WD ,187500,1060.0,59
86,RL,65.0,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,Gable,CompShg,MetalSd,MetalSd,None,0.0,3.0,CBlock,3.0,3.0,No,GLQ,553.0,BLQ,224.0,894.0,GasA,5.0,Y,SBrkr,894,0,894,1.0,1,0,3,1,3.0,5,Typ,1,Detchd,1973.0,Unf,3.0,3.0,Y,416,144,0,0,WD ,138500,336.0,55
1534,RL,68.88300349243306,11700,Pave,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,Gable,CompShg,WdShing,Wd Shng,None,0.0,3.0,CBlock,3.0,3.0,No,BLQ,606.0,Unf,336.0,942.0,GasA,5.0,Y,SBrkr,1265,673,1938,0.0,2,0,4,1,4.0,7,Min2,1,Detchd,1937.0,Unf,3.0,3.0,Y,0,40,0,0,WD ,198000,240.0,83
2243,C (all),75.0,8250,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,2fmCon,2Story,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3.0,CBlock,3.0,3.0,No,Unf,0.0,Unf,957.0,957.0,GasA,2.0,N,SBrkr,1034,957,1991,0.0,2,0,4,2,3.0,9,Typ,0,,1978.694099378882,,2.9679089026915113,2.9756728778467907,N,0,0,133,0,WD ,119600,0.0,125
1957,RL,60.0,8064,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,Gable,CompShg,MetalSd,MetalSd,None,0.0,3.0,CBlock,3.0,3.0,Mn,Unf,0.0,Unf,672.0,672.0,GasA,5.0,Y,SBrkr,672,252,924,0.0,1,0,3,1,3.0,6,Typ,1,Detchd,2003.0,Unf,3.0,3.0,Y,0,0,0,0,WD ,122900,1152.0,71
380,RL,80.0,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,8,Hip,WdShngl,BrkFace,BrkFace,None,0.0,4.0,PConc,4.0,3.0,No,ALQ,1104.0,Unf,1420.0,2524.0,GasA,3.0,Y,SBrkr,2524,0,2524,1.0,2,1,4,1,4.0,9,Typ,1,Attchd,1981.0,Fin,3.0,3.0,Y,474,120,0,0,WD ,278000,1084.0,39
2860,RL,68.88300349243306,11435,Pave,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,Gable,CompShg,BrkFace,Stucco,None,0.0,3.0,PConc,4.0,3.0,No,Unf,0.0,Unf,792.0,792.0,GasA,2.0,Y,SBrkr,792,725,1517,0.0,1,0,3,1,4.0,7,Typ,2,Detchd,1931.0,Unf,3.0,3.0,Y,0,0,0,0,WD ,230000,800.0,91
2517,RL,30.0,9549,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,Hip,CompShg,BrkFace,BrkFace,None,0.0,4.0,PConc,4.0,4.0,Av,LwQ,437.0,GLQ,0.0,1494.0,GasA,5.0,Y,SBrkr,1494,0,1494,1.0,1,1,2,1,5.0,6,Typ,1,Attchd,1995.0,Fin,3.0,3.0,Y,0,30,0,216,WD ,270000,962.0,25
1933,RL,60.0,10950,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3.0,CBlock,3.0,3.0,No,ALQ,441.0,Unf,507.0,948.0,GasA,3.0,Y,SBrkr,948,0,948,0.0,1,0,2,1,3.0,5,Typ,0,Detchd,1952.0,Unf,3.0,3.0,N,0,48,0,0,WD ,125000,820.0,68
820,RL,79.0,10637,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,4.0,PConc,5.0,3.0,4,GLQ,1288.0,Unf,417.0,1705.0,GasA,5.0,Y,SBrkr,1718,0,1718,1.0,2,0,3,1,4.0,7,Typ,1,Attchd,2007.0,RFn,3.0,3.0,Y,208,44,0,0,WD ,297000,2478.0,13
675,RL,80.0,9000,Pave,IR1,HLS,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,1Story,6,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,3.0,CBlock,4.0,3.0,4,Unf,0.0,Unf,160.0,160.0,GasA,2.0,Y,SBrkr,1142,0,1142,0.0,1,0,2,1,3.0,5,Typ,1,Basment,1958.0,RFn,3.0,3.0,Y,0,28,64,0,WD ,113500,384.0,62
2910,RM,41.0,2665,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,Gable,CompShg,CemntBd,CmentBd,None,0.0,3.0,PConc,3.0,3.0,No,ALQ,548.0,Rec,36.0,757.0,GasA,5.0,Y,SBrkr,925,550,1475,0.0,2,0,4,1,3.0,6,Typ,1,Attchd,1977.0,RFn,3.0,3.0,Y,104,26,0,0,WD ,127000,336.0,43
21,RL,105.0,11751,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,3.0,CBlock,4.0,3.0,No,BLQ,705.0,Unf,1139.0,1844.0,GasA,5.0,Y,SBrkr,1844,0,1844,0.0,2,0,3,1,3.0,7,Typ,1,Attchd,1977.0,RFn,3.0,3.0,Y,0,122,0,0,COD,190000,1092.0,43
1873,RL,80.0,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,3.0,CBlock,3.0,3.0,No,ALQ,916.0,Unf,326.0,1242.0,GasA,2.0,Y,SBrkr,1242,0,1242,0.0,1,1,3,1,3.0,6,Typ,1,Attchd,1973.0,Unf,3.0,3.0,Y,0,0,0,0,WD ,175500,1056.0,47
2125,RL,60.0,8428,Pave,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3.0,PConc,4.0,4.0,No,GLQ,420.0,Unf,570.0,990.0,GasA,5.0,Y,SBrkr,990,0,990,1.0,1,0,3,1,3.0,5,Typ,0,Detchd,1995.0,Unf,3.0,3.0,Y,256,0,0,0,WD ,146000,384.0,26
1489,RL,75.0,9937,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,Gable,CompShg,HdBoard,HdBoard,None,0.0,4.0,CBlock,3.0,3.0,No,BLQ,830.0,LwQ,136.0,1256.0,GasA,4.0,Y,SBrkr,1256,0,1256,1.0,1,1,3,1,3.0,6,Typ,0,Attchd,1965.0,Fin,3.0,3.0,Y,736,68,0,0,WD ,147500,276.0,55
2383,RL,107.0,13891,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,Gable,CompShg,VinylSd,VinylSd,,98.53754940711462,5.0,PConc,5.0,4.0,4,GLQ,1386.0,Unf,690.0,2076.0,GasA,5.0,Y,SBrkr,2076,0,2076,1.0,2,1,2,1,5.0,7,Typ,1,Attchd,2006.0,Fin,3.0,3.0,Y,216,229,0,0,New,465000,2550.0,14
983,RL,68.88300349243306,9101,Pave,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,5,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,3.0,PConc,4.0,3.0,Av,GLQ,1097.0,Unf,0.0,1097.0,GasA,5.0,Y,SBrkr,1110,0,1110,1.0,1,0,1,1,4.0,4,Typ,1,Attchd,1978.0,Fin,3.0,3.0,Y,303,30,0,0,WD ,165500,1204.0,42
1325,RM,81.0,12150,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,3.0,BrkTil,3.0,3.0,No,Unf,0.0,Unf,1050.0,1050.0,GasA,5.0,N,FuseF,1050,745,1795,0.0,2,0,4,1,3.0,7,Typ,0,Attchd,1954.0,Unf,2.0,3.0,Y,0,0,0,0,WD ,131500,352.0,66
1378,RL,70.0,11200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,Hip,CompShg,HdBoard,HdBoard,None,0.0,3.0,CBlock,3.0,3.0,No,Rec,906.0,Unf,134.0,1040.0,GasA,5.0,Y,SBrkr,1040,0,1040,1.0,1,0,3,1,3.0,5,Typ,0,Detchd,1965.0,Unf,3.0,3.0,Y,0,0,0,0,WD ,129500,384.0,55
1537,RL,100.0,9670,Pave,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,Gable,CompShg,BrkFace,Stucco,Stone,40.0,3.0,PConc,3.0,2.0,No,LwQ,210.0,Unf,398.0,608.0,GasA,3.0,Y,SBrkr,983,890,1873,0.0,1,1,4,1,3.0,9,Typ,2,Detchd,1935.0,Fin,2.0,3.0,Y,0,0,207,0,WD ,257076,1572.0,85
905,RL,60.0,10998,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3.0,CBlock,3.0,3.0,No,LwQ,408.0,BLQ,156.0,984.0,GasA,5.0,Y,SBrkr,984,620,1604,0.0,2,0,3,1,3.0,6,Min2,0,Detchd,1977.0,Unf,3.0,3.0,Y,0,68,0,0,WD ,117000,1320.0,79
1532,RL,60.0,7200,Pave,Reg,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,7,Gable,CompShg,Stucco,Wd Shng,None,0.0,3.0,BrkTil,4.0,3.0,No,Unf,0.0,Unf,776.0,776.0,GasA,3.0,Y,SBrkr,851,651,1502,0.0,1,1,3,1,3.0,6,Typ,1,Attchd,1931.0,RFn,3.0,3.0,P,0,0,112,0,WD ,149000,270.0,89
132,RL,80.0,9920,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,Gable,CompShg,HdBoard,HdBoard,Stone,110.0,3.0,CBlock,3.0,3.0,No,Rec,354.0,LwQ,412.0,1056.0,GasA,3.0,Y,SBrkr,1063,0,1063,1.0,1,0,3,1,3.0,6,Typ,0,Attchd,1954.0,RFn,3.0,3.0,Y,0,0,164,0,WD ,128000,280.0,66
1078,RL,36.0,2448,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,4.0,PConc,4.0,3.0,No,Unf,0.0,Unf,764.0,764.0,GasA,5.0,Y,SBrkr,764,862,1626,0.0,2,1,2,1,4.0,6,Typ,0,BuiltIn,2003.0,RFn,3.0,3.0,Y,0,27,0,0,WD ,155000,948.0,17
2511,FV,68.88300349243306,2998,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,Gable,CompShg,MetalSd,MetalSd,BrkFace,513.0,4.0,PConc,4.0,3.0,No,GLQ,353.0,Unf,403.0,756.0,GasA,5.0,Y,SBrkr,768,756,1524,0.0,2,1,2,1,4.0,4,Typ,0,Detchd,2000.0,Unf,3.0,3.0,Y,0,32,0,0,WD ,166000,880.0,20
912,RL,65.0,7804,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,4,Gable,CompShg,WdShing,Plywood,None,0.0,3.0,BrkTil,3.0,3.0,No,BLQ,622.0,Unf,500.0,1122.0,GasA,3.0,Y,SBrkr,1328,653,1981,1.0,2,0,4,1,4.0,7,Min2,2,Detchd,1981.0,Unf,3.0,3.0,Y,431,44,0,0,WD ,135000,1152.0,92
2351,RL,80.0,16692,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,2Story,7,Gable,CompShg,Plywood,Plywood,BrkFace,184.0,3.0,CBlock,4.0,3.0,No,BLQ,790.0,LwQ,133.0,1392.0,GasA,3.0,Y,SBrkr,1392,1392,2784,1.0,3,1,5,1,4.0,12,Typ,2,Attchd,1978.0,RFn,3.0,3.0,Y,0,112,0,440,WD ,250000,1128.0,42
330,RM,21.0,1476,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,4,Gable,CompShg,CemntBd,CmentBd,None,0.0,3.0,CBlock,3.0,3.0,No,GLQ,176.0,Unf,370.0,546.0,GasA,5.0,Y,SBrkr,546,546,1092,0.0,1,1,3,1,3.0,5,Typ,0,,1978.694099378882,,2.9679089026915113,2.9756728778467907,Y,200,26,0,0,WD ,76000,0.0,50
2586,RL,75.0,10170,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,522.0,3.0,CBlock,3.0,3.0,No,Unf,0.0,Unf,216.0,216.0,GasA,3.0,Y,SBrkr,1575,0,1575,0.0,1,1,2,1,4.0,5,Typ,1,Attchd,1951.0,Unf,3.0,3.0,Y,0,0,0,0,WD ,155000,800.0,69
224,RL,80.0,9364,Pave,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,2Story,6,Gable,CompShg,HdBoard,HdBoard,Stone,143.0,3.0,CBlock,3.0,3.0,No,ALQ,371.0,Unf,292.0,663.0,GasA,3.0,Y,SBrkr,663,689,1352,0.0,1,1,4,1,3.0,7,Typ,0,Attchd,1969.0,Fin,3.0,3.0,Y,379,36,0,0,WD ,158000,299.0,51
98,FV,24.0,2544,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,7,Gable,CompShg,MetalSd,MetalSd,None,0.0,4.0,PConc,4.0,3.0,No,GLQ,368.0,ALQ,190.0,600.0,GasA,5.0,Y,SBrkr,600,600,1200,1.0,2,1,2,1,4.0,4,Typ,0,Detchd,2004.0,RFn,3.0,3.0,Y,0,172,0,0,WD ,149500,960.0,16
